ticker,start_date,end_date,type
A,2000-06-05 00:00:00,2023-12-31 00:00:00,S
AABA,2000-01-03 00:00:00,2017-06-16 00:00:00,S
AAL,2015-03-23 00:00:00,2023-12-31 00:00:00,S
AAMRQ,2000-01-03 00:00:00,2003-03-10 00:00:00,S
AAP,2015-07-09 00:00:00,2023-06-20 00:00:00,S
AAPL,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ABBV,2013-01-02 00:00:00,2023-12-31 00:00:00,S
ABC,2001-08-30 00:00:00,2023-08-25 00:00:00,S
ABI,2000-01-03 00:00:00,2008-11-20 00:00:00,S
ABKFQ,2000-12-11 00:00:00,2008-06-10 00:00:00,S
ABMD,2018-05-31 00:00:00,2022-12-19 00:00:00,S
ABNB,2023-09-18 00:00:00,2023-12-31 00:00:00,S
ABS,2000-01-03 00:00:00,2006-05-31 00:00:00,S
ABT,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ABX,2000-01-03 00:00:00,2002-07-18 00:00:00,S
ACAS,2007-07-09 00:00:00,2009-03-02 00:00:00,S
ACGL,2022-11-01 00:00:00,2023-12-31 00:00:00,S
ACKH,2000-01-03 00:00:00,2000-11-08 00:00:00,S
ACN,2011-07-06 00:00:00,2023-12-31 00:00:00,S
ACS,2004-04-02 00:00:00,2010-02-02 00:00:00,S
ACV,2000-01-03 00:00:00,2006-11-16 00:00:00,S
ADBE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADCT,2000-01-03 00:00:00,2007-06-26 00:00:00,S
ADI,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADM,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADP,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADS,2013-12-23 00:00:00,2020-05-22 00:00:00,S
ADSK,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADT,2012-10-02 00:00:00,2016-04-28 00:00:00,S
AEE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AEP,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AES,2000-01-03 00:00:00,2023-12-31 00:00:00,S
